Age,Gender,Region,District,Language Spoken by Student,Math Term 1,Physics Term 1,Chemistry Term 1,Math Term 2,Physics Term 2,Chemistry Term 2,Math Term 3,Physics Term 3,Chemistry Term 3,Attendance
17,Female,Eastern,Kitgum,Acholi,43,50,77,70,100,46,56,43,71,0.9
15,Female,Central,Mukono,Runyankole,71,45,82,23,82,68,82,50,75,0.81
17,Female,Eastern,Jinja,Lusoga,56,100,88,79,59,65,63,100,47,0.97
15,Male,Western,Kampala,Rukiga,63,82,70,62,100,97,72,59,78,0.89
15,Male,Central,Jinja,Lusoga,88,63,70,82,87,49,93,41,94,0.82
17,Female,Central,Mityana,Teso,81,63,80,54,54,100,74,64,99,0.89
17,Female,Eastern,Tororo,Acholi,67,100,83,50,68,77,91,86,76,0.86
16,Male,Eastern,Masaka,Runyankole,44,100,82,56,72,100,88,66,36,0.96
15,Male,Eastern,Masindi,Acholi,79,99,100,88,67,100,94,73,77,0.92
16,Female,Central,Mbale,Rutooro,62,67,61,78,94,87,71,70,54,0.98
16,Female,Central,Mbale,Lusamia,62,21,100,98,49,100,52,67,84,0.85
17,Female,Northern,Kabale,Acholi,71,98,57,89,94,86,34,35,80,0.81
15,Male,Northern,Gulu,Runyankole,79,100,26,56,100,100,56,97,92,0.99
17,Female,Central,Kampala,Luganda,86,100,32,63,100,73,57,49,88,0.87
17,Female,Western,Mbale,Luganda,66,60,100,70,54,86,67,73,68,0.76
15,Male,Northern,Kabale,Runyankole,58,100,51,55,70,88,100,92,59,0.98
15,Male,Northern,Gulu,Lusoga,54,100,84,63,78,98,56,81,92,0.89
15,Female,Central,Kapchorwa,Luganda,100,96,53,77,60,86,80,56,55,0.96
15,Male,Central,Mbale,Luganda,72,76,72,90,97,83,61,75,54,0.99
15,Female,Eastern,Kabale,Lusamia,71,54,77,66,19,100,97,17,63,0.82
16,Male,Eastern,Mbale,Luganda,67,40,79,40,60,84,92,39,20,0.86
16,Male,Central,Kapchorwa,Rutooro,19,79,64,58,53,100,59,76,75,0.84
16,Female,Central,Kitgum,Acholi,90,100,51,77,70,100,81,73,83,0.9
17,Female,Western,Lira,Lango,60,100,89,45,74,79,78,81,84,0.83
15,Male,Northern,Mbale,Acholi,65,100,68,66,81,58,37,85,81,0.9
17,Female,Northern,Mbale,Acholi,55,100,42,38,78,73,77,100,61,0.97
17,Female,Western,Lira,Lango,96,100,86,80,57,81,100,57,53,0.97
16,Female,Eastern,Gulu,Luganda,79,86,66,75,58,69,84,62,83,0.8
16,Female,Northern,Kitgum,Lusoga,100,59,63,51,54,93,100,81,29,0.89
15,Male,Northern,Kabale,Acholi,75,85,64,59,67,85,67,25,77,0.82
17,Male,Central,Mubende,Rukiga,55,100,43,24,87,79,67,55,42,0.91
16,Male,Central,Kitgum,Acholi,64,63,98,83,89,88,100,49,100,0.95
16,Male,Central,Busia,Luganda,87,62,100,75,70,72,62,40,100,0.88
17,Male,Northern,Lira,Luganda,37,100,100,56,83,95,70,100,74,0.87
15,Female,Northern,Entebbe,Luo,56,48,84,50,59,69,72,73,78,0.94
16,Female,Northern,Busia,Luganda,48,83,75,57,54,79,81,69,48,0.95
15,Female,Western,Lira,Rutooro,74,92,99,53,88,80,66,97,97,0.87
17,Male,Western,Soroti,Luganda,97,73,64,33,90,100,84,42,98,0.86
15,Female,Northern,Jinja,Lusoga,70,93,37,49,69,45,38,76,64,0.88
15,Female,Northern,Mbale,Lusoga,97,100,94,50,86,63,78,60,99,0.76
17,Male,Northern,Jinja,Lusoga,72,100,64,75,84,84,91,76,23,0.78
15,Female,Central,Gulu,Lumasaaba,49,51,90,40,46,100,63,24,85,0.95
15,Female,Central,Kampala,Runyankole,100,100,80,45,73,99,100,43,84,0.9
16,Female,Central,Masindi,Iteso,89,100,100,89,53,100,81,96,87,0.83
15,Female,Western,Entebbe,Luganda,85,72,48,82,70,100,71,73,100,0.93
16,Female,Western,Kasese,Acholi,69,100,63,74,20,100,80,86,33,0.91
17,Male,Northern,Rukungiri,Runyankole,88,72,89,68,38,100,63,17,65,0.76
17,Female,Northern,Mbarara,Runyankole,59,100,26,39,100,70,73,88,43,0.97
16,Male,Central,Kitgum,Luo,65,80,81,64,88,100,77,100,45,0.97
17,Female,Northern,Kabale,Langi,84,76,100,69,48,100,100,96,83,0.91
17,Female,Northern,Tororo,Acholi,74,94,26,39,70,92,42,51,99,0.84
16,Female,Western,Mukono,Japadhola,77,67,55,49,42,84,32,49,80,0.92
17,Female,Central,Arua,Runyankole,37,100,57,33,90,80,19,83,74,0.95
17,Female,Central,Kabale,Luganda,26,100,96,64,98,100,57,86,100,0.86
16,Male,Western,Kampala,Runyankole,82,87,74,71,28,70,96,55,59,0.8
15,Female,Western,Gulu,Acholi,85,100,77,48,65,64,89,61,98,0.82
17,Female,Eastern,Kasese,Rukiga,89,52,91,82,48,100,74,74,74,0.93
15,Female,Central,Kasese,Lango,40,82,89,33,68,75,94,100,33,0.99
15,Male,Central,Kabale,Acholi,73,100,80,59,57,86,75,85,44,0.94
15,Male,Northern,Tororo,Lumasaaba,79,48,56,60,74,81,87,17,56,0.85
15,Female,Central,Mbale,Luganda,62,96,98,84,57,100,54,67,98,0.88
17,Male,Central,Soroti,Sebei,81,66,46,76,46,51,100,77,67,0.93
15,Female,Northern,Gulu,Luganda,48,100,95,63,97,59,79,100,70,0.88
16,Female,Central,Mbarara,Luganda,100,22,87,55,45,69,68,17,53,0.82
16,Female,Northern,Mukono,Ateso,100,95,87,57,42,70,57,79,57,0.86
17,Female,Northern,Masindi,Teso,100,67,98,63,39,100,66,75,77,0.81
15,Female,Northern,Jinja,Lusoga,47,60,97,88,83,90,70,17,48,0.83
17,Female,Eastern,Mubende,Ateso,58,100,89,56,86,100,100,100,30,0.99
15,Male,Western,Kasese,Luganda,75,63,85,82,23,100,67,67,100,0.93
15,Male,Western,Soroti,Luganda,86,100,96,94,66,100,61,82,100,0.87
15,Female,Central,Mbale,Lugbara,96,96,94,84,74,93,54,66,73,0.83
15,Male,Northern,Kampala,Luganda,96,89,94,67,60,100,89,95,90,0.87
15,Female,Northern,Jinja,Runyankole,53,60,82,59,54,100,91,73,100,0.91
17,Female,Northern,Kasese,Luganda,85,100,74,52,49,100,91,39,85,0.89
17,Female,Northern,Kampala,Luganda,87,100,78,74,94,95,82,89,87,0.76
15,Male,Eastern,Amuru,Rutooro,67,100,52,37,61,57,91,84,53,0.87
17,Male,Northern,Kampala,Teso,79,83,85,43,62,90,88,88,65,0.9
16,Male,Central,Mbarara,Lugbara,69,93,70,58,76,75,79,56,48,0.94
17,Female,Northern,Mbarara,Luganda,73,100,76,68,79,65,95,96,58,0.81
15,Male,Eastern,Kitgum,Acholi,86,100,43,60,66,98,83,38,64,0.89
17,Female,Northern,Kampala,Rukiga,77,87,50,61,71,72,85,85,63,0.89
16,Female,Eastern,Wakiso,Rukiga,96,98,58,57,65,94,98,70,91,0.8
15,Female,Northern,Mbarara,Sebei,77,90,36,51,78,73,95,53,37,0.89
17,Male,Central,Mukono,Lusoga,85,100,62,48,81,100,90,66,97,0.84
15,Female,Eastern,Soroti,Luo,54,39,51,60,53,62,87,69,79,0.96
15,Male,Northern,Soroti,Acholi,47,31,59,73,49,91,60,41,81,0.79
17,Female,Western,Kampala,Luganda,100,100,77,72,54,100,57,23,64,0.82
17,Female,Western,Kampala,Lango,82,58,100,93,54,100,68,24,100,0.9
16,Female,Eastern,Mbale,Lumasaba,91,100,56,62,63,87,93,91,59,0.91
15,Male,Western,Wakiso,Runyankole,85,85,100,78,49,100,76,66,79,0.82
15,Female,Northern,Mukono,Luganda,95,83,100,64,17,91,89,92,58,0.76
17,Female,Northern,Mbale,Luganda,67,100,27,46,90,76,59,64,70,0.85
16,Female,Central,Kasese,Runyankole,81,100,26,55,92,100,71,91,64,0.99
15,Male,Northern,Mbale,Japadhola,76,99,100,69,63,93,80,61,53,0.91
15,Female,Western,Bushenyi,Luganda,59,60,100,79,45,94,67,68,100,0.91
17,Male,Central,Tororo,Luganda,99,87,84,94,48,100,40,48,91,0.83
16,Female,Western,Kampala,Lusoga,25,51,64,74,77,93,56,17,81,0.76
15,Female,Central,Pallisa,Lusamia,57,66,76,38,61,81,55,54,94,0.76
15,Female,Northern,Kabale,Luganda,78,79,79,72,65,97,83,33,87,0.94
17,Female,Northern,Mbale,Runyankole,60,89,100,56,23,89,29,81,93,0.88
15,Female,Western,Iganga,Lusoga,70,100,26,54,97,62,52,86,22,0.86
17,Female,Northern,Mbale,Lusoga,69,100,53,35,78,95,58,37,60,0.88
15,Female,Central,Wakiso,Luganda,30,49,72,52,59,90,54,46,61,0.93
15,Female,Central,Mbale,Acholi,57,100,75,59,64,88,96,77,22,0.9
15,Male,Northern,Tororo,Teso,76,27,100,81,37,99,100,76,64,0.91
15,Female,Central,Wakiso,Luganda,77,97,100,62,72,63,100,100,48,0.87
15,Female,Eastern,Mbarara,Rukiga,99,100,72,65,66,100,100,87,93,0.95
17,Male,Eastern,Rukungiri,Runyankole,76,57,60,77,89,64,42,52,100,0.9
17,Female,Western,Mbale,Rukiga,38,88,100,94,75,100,51,99,92,0.9
15,Female,Central,Kasese,Luganda,81,94,86,78,72,79,76,48,60,0.92
16,Female,Northern,Mbale,Lumasaaba,95,50,57,68,60,79,66,57,92,0.95
16,Female,Eastern,Gulu,Runyankole,64,100,78,42,77,73,50,82,85,0.76
15,Male,Eastern,Lira,Luganda,66,100,58,55,93,65,77,96,49,0.96
17,Female,Western,Mbale,Luganda,59,100,100,62,63,94,65,96,100,0.81
17,Male,Western,Mbarara,Luganda,67,94,57,45,55,73,95,77,40,0.99
15,Female,Northern,Kabale,Acholi,80,100,90,42,70,100,82,87,87,0.9
17,Female,Central,Wakiso,Luo,60,82,81,67,54,95,64,58,91,0.79
17,Male,Central,Jinja,Luganda,75,79,88,71,60,100,77,57,95,0.89
17,Female,Eastern,Mukono,Acholi,61,100,49,63,57,99,65,81,87,0.95
15,Female,Eastern,Soroti,Runyankole,56,80,100,56,76,94,61,54,51,0.94
16,Male,Northern,Soroti,Runyankole,59,100,37,39,91,52,82,81,76,0.76
17,Female,Eastern,Jinja,Acholi,72,100,79,70,44,100,70,93,64,0.94
17,Female,Northern,Gulu,Teso,81,74,100,44,50,59,82,69,50,0.9
15,Female,Central,Soroti,Acholi,60,97,38,54,80,99,89,90,47,0.94
17,Male,Eastern,Kabale,Luganda,42,100,77,30,62,79,44,89,59,0.82
17,Female,Eastern,Kampala,Lusoga,99,100,66,55,56,77,98,71,69,0.86
15,Female,Central,Mbale,Lumasaaba,62,86,100,69,71,80,93,97,85,0.87
15,Male,Northern,Pader,Runyankole,54,100,28,42,87,89,63,87,83,0.96
17,Female,Eastern,Gulu,Runyankole,75,100,86,48,92,58,75,98,61,0.76
16,Male,Western,Kitgum,Ateso,54,75,36,37,90,100,80,26,54,0.76
15,Female,Central,Arua,Luganda,100,100,89,81,69,72,56,100,70,0.86
15,Female,Central,Lira,Luganda,58,100,68,51,88,69,55,100,98,0.88
16,Female,Northern,Kitgum,Luganda,74,48,43,40,71,96,84,66,90,0.99
17,Female,Eastern,Kitgum,Luganda,67,82,72,54,56,76,71,17,100,0.86
16,Female,Northern,Kabale,Luganda,65,72,91,50,94,100,100,54,80,0.83
15,Male,Eastern,Jinja,Luganda,92,100,45,45,96,78,79,67,74,0.88
17,Male,Northern,Entebbe,Runyankole,81,99,53,48,46,62,86,100,60,0.95
15,Male,Northern,Mbale,Luganda,82,90,73,78,60,92,71,44,33,0.94
15,Female,Eastern,Mukono,Lugbara,82,100,81,75,46,75,78,56,33,0.89
15,Female,Northern,Mbarara,Teso,100,90,87,82,41,96,94,76,94,0.91
17,Female,Western,Mbarara,Lumasaaba,81,100,73,51,54,100,39,79,64,0.9
15,Female,Northern,Wakiso,Acholi,83,100,96,79,100,68,79,77,100,0.89
16,Female,Northern,Busia,Luganda,59,100,26,23,87,47,44,82,60,0.85
16,Female,Eastern,Jinja,Ateso,64,55,100,75,62,81,72,74,82,0.84
15,Male,Northern,Kitgum,Luo,65,100,47,27,54,65,61,94,40,0.96
15,Female,Central,Mbale,Lugisu,100,43,100,100,51,95,97,30,77,0.98
15,Female,Northern,Kitgum,Luganda,71,72,61,96,41,94,62,46,63,0.94
15,Female,Eastern,Lira,Luganda,66,84,100,90,20,100,97,92,46,0.87
17,Female,Northern,Lira,Luganda,80,100,53,49,87,89,69,100,92,0.76
16,Female,Eastern,Arua,Acholi,78,81,50,26,72,92,76,38,88,0.76
15,Male,Northern,Mbarara,Acholi,64,100,75,77,89,70,96,100,34,0.83
15,Female,Northern,Pader,Acholi,89,100,46,66,100,90,95,72,86,0.81
15,Male,Eastern,Jinja,Runyankole,96,100,61,23,69,94,60,17,93,0.82
15,Male,Eastern,Tororo,Langi,58,80,72,51,39,48,58,90,70,0.83
17,Female,Western,Kapchorwa,Luganda,74,100,39,39,74,84,39,78,71,0.81
15,Male,Western,Amuru,Lusoga,90,93,100,72,49,100,45,95,77,0.76
15,Female,Northern,Mukono,Rukiga,92,100,61,66,55,100,97,45,75,0.8
16,Female,Eastern,Kapchorwa,Luganda,81,100,100,67,95,100,66,83,100,0.76
15,Female,Central,Kitgum,Lugisu,66,97,86,51,88,62,44,19,85,0.8
15,Female,Northern,Mbale,Acholi,70,60,88,96,79,100,80,60,97,0.76
15,Female,Western,Gulu,Ateso,65,100,100,75,52,100,85,75,75,0.82
16,Female,Western,Mbarara,Rutooro,100,66,78,54,49,100,82,31,97,0.91
